roc_auc,pr_auc,precision,recall,f1,threshold,tp,fp,tn,fn
0.890946511190573,0.5882876446725429,0.11131442512961269,0.9987562189054726,0.20030432288158848,0.05,4015,32054,3926,5
0.890946511190573,0.5882876446725429,0.12766231259249727,0.9870646766169154,0.22608398381858583,0.1,3968,27114,8866,52
0.890946511190573,0.5882876446725429,0.1475514736327022,0.9751243781094527,0.2563180436132998,0.15,3920,22647,13333,100
0.890946511190573,0.5882876446725429,0.16952280516741366,0.9597014925373134,0.28814698633206365,0.2,3858,18900,17080,162
0.890946511190573,0.5882876446725429,0.19399300555441268,0.9383084577114428,0.32151380838731675,0.25,3772,15672,20308,248
0.890946511190573,0.5882876446725429,0.22106914444310366,0.9114427860696518,0.35583179566864137,0.3,3664,12910,23070,356
0.890946511190573,0.5882876446725429,0.2533923725182117,0.882587064676617,0.39374098324270335,0.35,3548,10454,25526,472
0.890946511190573,0.5882876446725429,0.28956514368059677,0.8497512437810946,0.43194031738003413,0.4,3416,8381,27599,604
0.890946511190573,0.5882876446725429,0.327166110605601,0.8049751243781095,0.46524333261447776,0.45,3236,6655,29325,784
0.890946511190573,0.5882876446725429,0.37253937007874016,0.7532338308457711,0.49851827461310505,0.5,3028,5100,30880,992
0.890946511190573,0.5882876446725429,0.42331473382596896,0.6982587064676616,0.5270866585297155,0.55,2807,3824,32156,1213
0.890946511190573,0.5882876446725429,0.4816287878787879,0.632587064676617,0.5468817204301075,0.6,2543,2737,33243,1477
0.890946511190573,0.5882876446725429,0.543509965969859,0.5562189054726369,0.5497910007376444,0.65,2236,1878,34102,1784
0.890946511190573,0.5882876446725429,0.612027158098933,0.4708955223880597,0.5322648671446647,0.7,1893,1200,34780,2127
0.890946511190573,0.5882876446725429,0.6999080882352942,0.3788557213930348,0.49160748870238863,0.75,1523,653,35327,2497
0.890946511190573,0.5882876446725429,0.7889655172413793,0.2845771144278607,0.4182815356489945,0.8,1144,306,35674,2876
0.890946511190573,0.5882876446725429,0.8651162790697674,0.18507462686567164,0.30491803278688523,0.85,744,116,35864,3276
0.890946511190573,0.5882876446725429,0.9335260115606936,0.08034825870646767,0.14796152084287678,0.9,323,23,35957,3697
0.890946511190573,0.5882876446725429,0.9807692307692307,0.012686567164179104,0.02504911591355599,0.95,51,1,35979,3969
