feature,iv,预测能力
var_81,0.07680814718721493,弱
var_139,0.06179347287570106,弱
var_12,0.04932394807392959,弱
var_110,0.04849625142849582,弱
var_6,0.04655504541066644,弱
var_146,0.04227139278402359,弱
var_26,0.04033282802005358,弱
var_76,0.03850768579037049,弱
var_53,0.037225761649273444,弱
var_148,0.03654679590253839,弱
var_21,0.03590518742134417,弱
var_99,0.03497767542362465,弱
var_22,0.03431493661414622,弱
var_174,0.03316898051069188,弱
var_80,0.0328935656589764,弱
var_2,0.032039665816845087,弱
var_166,0.031887669544450346,弱
var_190,0.03188052367473409,弱
var_165,0.030919764406450754,弱
var_44,0.029704221133493882,弱
